Start Time, Oct. 25, 2018 at 03:12:02 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 1225.22
Real Time (s), 1230.74
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 19
2, 1, 3538
3, 1.5, 246
4, 2, 51
5, 2.5, 128
6, 3, 661
7, 3.5, 595
8, 4, 539
9, 4.5, 535
10, 5, 473
11, 5.5, 450
12, 6, 511
13, 6.5, 481
14, 7, 443
15, 7.5, 298
16, 8, 343
17, 8.5, 282
18, 9, 302
19, 9.5, 298
20, 10, 273
21, 10.5, 280
22, 11, 294
23, 11.5, 228
24, 12, 245
25, 12.5, 284
26, 13, 227
27, 13.5, 254
28, 14, 223
29, 14.5, 260
30, 15, 234
31, 15.5, 210
32, 16, 215
33, 16.5, 205
34, 17, 204
35, 17.5, 196
36, 18, 231
37, 18.5, 218
38, 19, 203
39, 19.5, 198
40, 20, 238
41, 20.5, 193
42, 21, 220
43, 21.5, 179
44, 22, 189
45, 22.5, 182
46, 23, 166
47, 23.5, 197
48, 24, 202
49, 24.5, 178
50, 25, 181
51, 25.5, 179
52, 26, 178
53, 26.5, 170
54, 27, 172
55, 27.5, 174
56, 28, 177
57, 28.5, 195
58, 29, 186
59, 29.5, 176
60, 30, 182
61, 30.5, 190
62, 31, 183
63, 31.5, 174
64, 32, 163
65, 32.5, 169
66, 33, 162
67, 33.5, 167
68, 34, 190
69, 34.5, 197
70, 35, 179
71, 35.5, 173
72, 36, 186
73, 36.5, 194
74, 37, 187
75, 37.5, 207
76, 38, 218
77, 38.5, 202
78, 39, 231
79, 39.5, 219
80, 40, 207
81, 40.5, 223
82, 41, 214
83, 41.5, 231
84, 42, 218
85, 42.5, 249
86, 43, 247
87, 43.5, 254
88, 44, 250
89, 44.5, 249
90, 45, 273
91, 45.5, 259
92, 46, 296
93, 46.5, 281
94, 47, 297
95, 47.5, 312
96, 48, 378
97, 48.5, 329
98, 49, 424
99, 49.5, 472
100, 50, 351
101, 50.5, 323
102, 51, 359
103, 51.5, 307
104, 52, 309
105, 52.5, 304
106, 53, 329
107, 53.5, 360
108, 54, 341
109, 54.5, 314
110, 55, 323
111, 55.5, 411
112, 56, 441
113, 56.5, 374
114, 57, 407
115, 57.5, 409
116, 58, 338
117, 58.5, 349
118, 59, 375
119, 59.5, 364
120, 60, 378
121, 60.5, 337
122, 61, 389
123, 61.5, 351
124, 62, 373
125, 62.5, 368
126, 63, 347
127, 63.5, 387
128, 64, 342
129, 64.5, 390
130, 65, 365
131, 65.5, 358
132, 66, 332
133, 66.5, 400
134, 67, 358
135, 67.5, 388
136, 68, 381
137, 68.5, 348
138, 69, 414
139, 69.5, 354
140, 70, 343
141, 70.5, 383
142, 71, 373
143, 71.5, 401
144, 72, 355
145, 72.5, 358
146, 73, 381
147, 73.5, 402
148, 74, 375
149, 74.5, 409
150, 75, 369
151, 75.5, 367
152, 76, 414
153, 76.5, 365
154, 77, 370
155, 77.5, 387
156, 78, 413
157, 78.5, 384
158, 79, 404
159, 79.5, 357
160, 80, 341
161, 80.5, 405
162, 81, 371
163, 81.5, 365
164, 82, 366
165, 82.5, 342
166, 83, 372
167, 83.5, 341
168, 84, 357
169, 84.5, 386
170, 85, 369
171, 85.5, 377
172, 86, 356
173, 86.5, 372
174, 87, 365
175, 87.5, 366
176, 88, 359
177, 88.5, 338
178, 89, 378
179, 89.5, 335
180, 90, 352
181, 90.5, 342
182, 91, 374
183, 91.5, 369
184, 92, 353
185, 92.5, 350
186, 93, 343
187, 93.5, 333
188, 94, 357
189, 94.5, 356
190, 95, 326
191, 95.5, 335
192, 96, 313
193, 96.5, 322
194, 97, 341
195, 97.5, 332
196, 98, 339
197, 98.5, 344
198, 99, 313
199, 99.5, 338
200, 100, 341
201, 100.5, 301
202, 101, 298
203, 101.5, 324
204, 102, 300
205, 102.5, 274
206, 103, 298
207, 103.5, 295
208, 104, 305
209, 104.5, 304
210, 105, 340
211, 105.5, 285
212, 106, 302
213, 106.5, 264
214, 107, 287
215, 107.5, 307
216, 108, 270
217, 108.5, 306
218, 109, 299
219, 109.5, 266
220, 110, 273
221, 110.5, 270
222, 111, 289
223, 111.5, 272
224, 112, 271
225, 112.5, 267
226, 113, 278
227, 113.5, 261
228, 114, 244
229, 114.5, 251
230, 115, 287
231, 115.5, 299
232, 116, 255
233, 116.5, 274
234, 117, 276
235, 117.5, 273
236, 118, 242
237, 118.5, 252
238, 119, 256
239, 119.5, 264
240, 120, 242
241, 120.5, 257
242, 121, 240
243, 121.5, 234
244, 122, 261
245, 122.5, 279
246, 123, 250
247, 123.5, 242
248, 124, 242
249, 124.5, 252
250, 125, 279
251, 125.5, 246
252, 126, 218
253, 126.5, 253
254, 127, 234
255, 127.5, 207
256, 128, 234
257, 128.5, 220
258, 129, 219
259, 129.5, 245
260, 130, 224
261, 130.5, 238
262, 131, 231
263, 131.5, 246
264, 132, 206
265, 132.5, 229
266, 133, 229
267, 133.5, 212
268, 134, 217
269, 134.5, 223
270, 135, 209
271, 135.5, 221
272, 136, 184
273, 136.5, 186
274, 137, 217
275, 137.5, 238
276, 138, 194
277, 138.5, 206
278, 139, 224
279, 139.5, 199
280, 140, 185
281, 140.5, 185
282, 141, 170
283, 141.5, 171
284, 142, 192
285, 142.5, 198
286, 143, 188
287, 143.5, 180
288, 144, 196
289, 144.5, 170
290, 145, 183
291, 145.5, 182
292, 146, 173
293, 146.5, 167
294, 147, 181
295, 147.5, 207
296, 148, 174
297, 148.5, 179
298, 149, 165
299, 149.5, 176
300, 150, 180
301, 150.5, 162
302, 151, 160
303, 151.5, 164
304, 152, 181
305, 152.5, 141
306, 153, 163
307, 153.5, 175
308, 154, 175
309, 154.5, 157
310, 155, 188
311, 155.5, 144
312, 156, 187
313, 156.5, 421
314, 157, 493
315, 157.5, 169
316, 158, 209
317, 158.5, 214
318, 159, 226
319, 159.5, 151
320, 160, 140
321, 160.5, 126
322, 161, 151
323, 161.5, 136
324, 162, 132
325, 162.5, 145
326, 163, 121
327, 163.5, 130
328, 164, 146
329, 164.5, 133
330, 165, 134
331, 165.5, 118
332, 166, 160
333, 166.5, 141
334, 167, 127
335, 167.5, 117
336, 168, 128
337, 168.5, 113
338, 169, 140
339, 169.5, 140
340, 170, 141
341, 170.5, 143
342, 171, 133
343, 171.5, 146
344, 172, 133
345, 172.5, 138
346, 173, 118
347, 173.5, 120
348, 174, 126
349, 174.5, 100
350, 175, 108
351, 175.5, 150
352, 176, 142
353, 176.5, 113
354, 177, 131
355, 177.5, 151
356, 178, 128
357, 178.5, 104
358, 179, 122
359, 179.5, 104
360, 180, 109
361, 180.5, 121
362, 181, 113
363, 181.5, 117
364, 182, 134
365, 182.5, 122
366, 183, 103
367, 183.5, 104
368, 184, 109
369, 184.5, 110
370, 185, 102
371, 185.5, 108
372, 186, 111
373, 186.5, 100
374, 187, 114
375, 187.5, 98
376, 188, 118
377, 188.5, 116
378, 189, 115
379, 189.5, 103
380, 190, 82
381, 190.5, 128
382, 191, 109
383, 191.5, 92
384, 192, 94
385, 192.5, 100
386, 193, 110
387, 193.5, 167
388, 194, 261
389, 194.5, 124
390, 195, 96
391, 195.5, 95
392, 196, 100
393, 196.5, 97
394, 197, 120
395, 197.5, 90
396, 198, 87
397, 198.5, 105
398, 199, 95
399, 199.5, 88
400, 200, 92
401, 200.5, 105
402, 201, 91
403, 201.5, 92
404, 202, 110
405, 202.5, 103
406, 203, 124
407, 203.5, 69
408, 204, 82
409, 204.5, 100
410, 205, 86
411, 205.5, 83
412, 206, 98
413, 206.5, 86
414, 207, 89
415, 207.5, 87
416, 208, 74
417, 208.5, 97
418, 209, 81
419, 209.5, 85
420, 210, 99
421, 210.5, 79
422, 211, 81
423, 211.5, 75
424, 212, 104
425, 212.5, 85
426, 213, 98
427, 213.5, 84
428, 214, 82
429, 214.5, 77
430, 215, 81
431, 215.5, 111
432, 216, 87
433, 216.5, 77
434, 217, 79
435, 217.5, 79
436, 218, 68
437, 218.5, 86
438, 219, 80
439, 219.5, 82
440, 220, 74
441, 220.5, 81
442, 221, 64
443, 221.5, 86
444, 222, 154
445, 222.5, 121
446, 223, 79
447, 223.5, 81
448, 224, 69
449, 224.5, 65
450, 225, 61
451, 225.5, 59
452, 226, 70
453, 226.5, 76
454, 227, 65
455, 227.5, 73
456, 228, 80
457, 228.5, 80
458, 229, 79
459, 229.5, 67
460, 230, 68
461, 230.5, 139
462, 231, 381
463, 231.5, 208
464, 232, 86
465, 232.5, 66
466, 233, 63
467, 233.5, 59
468, 234, 44
469, 234.5, 60
470, 235, 61
471, 235.5, 61
472, 236, 77
473, 236.5, 63
474, 237, 74
475, 237.5, 59
476, 238, 62
477, 238.5, 60
478, 239, 73
479, 239.5, 64
480, 240, 53
481, 240.5, 60
482, 241, 76
483, 241.5, 58
484, 242, 62
485, 242.5, 68
486, 243, 69
487, 243.5, 69
488, 244, 73
489, 244.5, 66
490, 245, 46
491, 245.5, 63
492, 246, 59
493, 246.5, 64
494, 247, 60
495, 247.5, 63
496, 248, 70
497, 248.5, 59
498, 249, 47
499, 249.5, 57
500, 250, 49
501, 250.5, 49
502, 251, 67
503, 251.5, 57
504, 252, 65
505, 252.5, 78
506, 253, 44
507, 253.5, 51
508, 254, 55
509, 254.5, 68
510, 255, 61
511, 255.5, 58
512, 256, 59
513, 256.5, 59
514, 257, 50
515, 257.5, 65
516, 258, 61
517, 258.5, 70
518, 259, 44
519, 259.5, 63
520, 260, 60
521, 260.5, 44
522, 261, 49
523, 261.5, 53
524, 262, 44
525, 262.5, 62
526, 263, 52
527, 263.5, 65
528, 264, 48
529, 264.5, 44
530, 265, 54
531, 265.5, 59
532, 266, 52
533, 266.5, 51
534, 267, 61
535, 267.5, 48
536, 268, 47
537, 268.5, 70
538, 269, 76
539, 269.5, 53
540, 270, 58
541, 270.5, 54
542, 271, 50
543, 271.5, 58
544, 272, 43
545, 272.5, 49
546, 273, 49
547, 273.5, 42
548, 274, 44
549, 274.5, 40
550, 275, 49
551, 275.5, 61
552, 276, 58
553, 276.5, 52
554, 277, 41
555, 277.5, 60
556, 278, 55
557, 278.5, 45
558, 279, 50
559, 279.5, 47
560, 280, 32
561, 280.5, 58
562, 281, 48
563, 281.5, 44
564, 282, 54
565, 282.5, 53
566, 283, 46
567, 283.5, 40
568, 284, 32
569, 284.5, 44
570, 285, 49
571, 285.5, 51
572, 286, 48
573, 286.5, 45
574, 287, 43
575, 287.5, 45
576, 288, 43
577, 288.5, 45
578, 289, 37
579, 289.5, 35
580, 290, 47
581, 290.5, 42
582, 291, 40
583, 291.5, 35
584, 292, 43
585, 292.5, 33
586, 293, 52
587, 293.5, 46
588, 294, 45
589, 294.5, 43
590, 295, 45
591, 295.5, 39
592, 296, 42
593, 296.5, 39
594, 297, 49
595, 297.5, 48
596, 298, 49
597, 298.5, 58
598, 299, 40
599, 299.5, 50
600, 300, 38
601, 300.5, 32
602, 301, 43
603, 301.5, 44
604, 302, 46
605, 302.5, 50
606, 303, 42
607, 303.5, 59
608, 304, 75
609, 304.5, 61
610, 305, 36
611, 305.5, 32
612, 306, 44
613, 306.5, 31
614, 307, 33
615, 307.5, 51
616, 308, 32
617, 308.5, 36
618, 309, 37
619, 309.5, 41
620, 310, 45
621, 310.5, 40
622, 311, 41
623, 311.5, 35
624, 312, 43
625, 312.5, 28
626, 313, 36
627, 313.5, 50
628, 314, 41
629, 314.5, 36
630, 315, 40
631, 315.5, 40
632, 316, 40
633, 316.5, 37
634, 317, 44
635, 317.5, 31
636, 318, 30
637, 318.5, 31
638, 319, 38
639, 319.5, 37
640, 320, 36
641, 320.5, 33
642, 321, 31
643, 321.5, 35
644, 322, 26
645, 322.5, 44
646, 323, 36
647, 323.5, 36
648, 324, 38
649, 324.5, 48
650, 325, 25
651, 325.5, 23
652, 326, 41
653, 326.5, 40
654, 327, 42
655, 327.5, 34
656, 328, 33
657, 328.5, 41
658, 329, 43
659, 329.5, 41
660, 330, 27
661, 330.5, 36
662, 331, 31
663, 331.5, 47
664, 332, 36
665, 332.5, 36
666, 333, 30
667, 333.5, 36
668, 334, 47
669, 334.5, 34
670, 335, 99
671, 335.5, 89
672, 336, 65
673, 336.5, 46
674, 337, 29
675, 337.5, 26
676, 338, 28
677, 338.5, 58
678, 339, 31
679, 339.5, 34
680, 340, 28
681, 340.5, 38
682, 341, 45
683, 341.5, 20
684, 342, 37
685, 342.5, 39
686, 343, 25
687, 343.5, 33
688, 344, 31
689, 344.5, 35
690, 345, 31
691, 345.5, 26
692, 346, 40
693, 346.5, 29
694, 347, 23
695, 347.5, 37
696, 348, 43
697, 348.5, 40
698, 349, 39
699, 349.5, 38
700, 350, 32
701, 350.5, 28
702, 351, 26
703, 351.5, 30
704, 352, 37
705, 352.5, 32
706, 353, 33
707, 353.5, 39
708, 354, 37
709, 354.5, 29
710, 355, 34
711, 355.5, 30
712, 356, 30
713, 356.5, 37
714, 357, 31
715, 357.5, 23
716, 358, 34
717, 358.5, 35
718, 359, 28
719, 359.5, 38
720, 360, 25
721, 360.5, 34
722, 361, 29
723, 361.5, 31
724, 362, 21
725, 362.5, 40
726, 363, 32
727, 363.5, 37
728, 364, 25
729, 364.5, 32
730, 365, 38
731, 365.5, 27
732, 366, 28
733, 366.5, 23
734, 367, 26
735, 367.5, 34
736, 368, 30
737, 368.5, 36
738, 369, 38
739, 369.5, 44
740, 370, 29
741, 370.5, 29
742, 371, 30
743, 371.5, 38
744, 372, 35
745, 372.5, 32
746, 373, 31
747, 373.5, 32
748, 374, 34
749, 374.5, 30
750, 375, 35
751, 375.5, 29
752, 376, 23
753, 376.5, 30
754, 377, 28
755, 377.5, 38
756, 378, 33
757, 378.5, 30
758, 379, 28
759, 379.5, 21
760, 380, 25
761, 380.5, 40
762, 381, 24
763, 381.5, 31
764, 382, 48
765, 382.5, 165
766, 383, 206
767, 383.5, 70
768, 384, 30
769, 384.5, 22
770, 385, 26
771, 385.5, 21
772, 386, 26
773, 386.5, 27
774, 387, 32
775, 387.5, 31
776, 388, 27
777, 388.5, 27
778, 389, 31
779, 389.5, 31
780, 390, 23
781, 390.5, 33
782, 391, 27
783, 391.5, 29
784, 392, 26
785, 392.5, 23
786, 393, 34
787, 393.5, 30
788, 394, 34
789, 394.5, 27
790, 395, 24
791, 395.5, 27
792, 396, 26
793, 396.5, 23
794, 397, 30
795, 397.5, 34
796, 398, 26
797, 398.5, 27
798, 399, 36
799, 399.5, 157
800, 400, 233
801, 400.5, 133
802, 401, 23
803, 401.5, 25
804, 402, 18
805, 402.5, 15
806, 403, 19
807, 403.5, 17
808, 404, 21
809, 404.5, 25
810, 405, 13
811, 405.5, 20
812, 406, 32
813, 406.5, 25
814, 407, 17
815, 407.5, 15
816, 408, 25
817, 408.5, 25
818, 409, 17
819, 409.5, 22
820, 410, 20
821, 410.5, 14
822, 411, 19
823, 411.5, 26
824, 412, 29
825, 412.5, 27
826, 413, 24
827, 413.5, 28
828, 414, 32
829, 414.5, 31
830, 415, 27
831, 415.5, 28
832, 416, 19
833, 416.5, 20
834, 417, 25
835, 417.5, 25
836, 418, 22
837, 418.5, 25
838, 419, 21
839, 419.5, 32
840, 420, 27
841, 420.5, 21
842, 421, 19
843, 421.5, 16
844, 422, 20
845, 422.5, 21
846, 423, 15
847, 423.5, 27
848, 424, 28
849, 424.5, 29
850, 425, 27
851, 425.5, 23
852, 426, 21
853, 426.5, 24
854, 427, 26
855, 427.5, 26
856, 428, 21
857, 428.5, 19
858, 429, 16
859, 429.5, 23
860, 430, 19
861, 430.5, 28
862, 431, 17
863, 431.5, 22
864, 432, 29
865, 432.5, 32
866, 433, 17
867, 433.5, 24
868, 434, 28
869, 434.5, 31
870, 435, 32
871, 435.5, 30
872, 436, 18
873, 436.5, 33
874, 437, 36
875, 437.5, 28
876, 438, 27
877, 438.5, 35
878, 439, 20
879, 439.5, 20
880, 440, 29
881, 440.5, 24
882, 441, 24
883, 441.5, 21
884, 442, 23
885, 442.5, 20
886, 443, 23
887, 443.5, 24
888, 444, 21
889, 444.5, 18
890, 445, 19
891, 445.5, 24
892, 446, 16
893, 446.5, 23
894, 447, 27
895, 447.5, 25
896, 448, 18
897, 448.5, 23
898, 449, 18
899, 449.5, 19
900, 450, 13
901, 450.5, 19
902, 451, 24
903, 451.5, 16
904, 452, 20
905, 452.5, 22
906, 453, 23
907, 453.5, 28
908, 454, 20
909, 454.5, 24
910, 455, 18
911, 455.5, 19
912, 456, 31
913, 456.5, 21
914, 457, 17
915, 457.5, 25
916, 458, 22
917, 458.5, 30
918, 459, 26
919, 459.5, 20
920, 460, 17
921, 460.5, 23
922, 461, 26
923, 461.5, 21
924, 462, 31
925, 462.5, 23
926, 463, 9
927, 463.5, 25
928, 464, 22
929, 464.5, 21
930, 465, 22
931, 465.5, 19
932, 466, 15
933, 466.5, 24
934, 467, 22
935, 467.5, 20
936, 468, 22
937, 468.5, 28
938, 469, 15
939, 469.5, 15
940, 470, 17
941, 470.5, 23
942, 471, 17
943, 471.5, 14
944, 472, 26
945, 472.5, 19
946, 473, 18
947, 473.5, 29
948, 474, 19
949, 474.5, 23
950, 475, 16
951, 475.5, 21
952, 476, 27
953, 476.5, 23
954, 477, 39
955, 477.5, 66
956, 478, 24
957, 478.5, 18
958, 479, 30
959, 479.5, 20
960, 480, 19
961, 480.5, 16
962, 481, 21
963, 481.5, 20
964, 482, 19
965, 482.5, 33
966, 483, 22
967, 483.5, 18
968, 484, 14
969, 484.5, 30
970, 485, 20
971, 485.5, 21
972, 486, 24
973, 486.5, 28
974, 487, 13
975, 487.5, 23
976, 488, 13
977, 488.5, 12
978, 489, 16
979, 489.5, 13
980, 490, 14
981, 490.5, 23
982, 491, 12
983, 491.5, 24
984, 492, 18
985, 492.5, 21
986, 493, 21
987, 493.5, 14
988, 494, 24
989, 494.5, 18
990, 495, 21
991, 495.5, 26
992, 496, 19
993, 496.5, 22
994, 497, 19
995, 497.5, 19
996, 498, 18
997, 498.5, 20
998, 499, 9
999, 499.5, 20
1000, 500, 15
1001, 500.5, 19
1002, 501, 20
1003, 501.5, 21
1004, 502, 26
1005, 502.5, 15
1006, 503, 24
1007, 503.5, 28
1008, 504, 38
1009, 504.5, 45
1010, 505, 35
1011, 505.5, 23
1012, 506, 16
1013, 506.5, 18
1014, 507, 19
1015, 507.5, 24
1016, 508, 18
1017, 508.5, 9
1018, 509, 12
1019, 509.5, 10
1020, 510, 19
1021, 510.5, 10
1022, 511, 14
1023, 511.5, 15
1024, 512, 20
1025, 512.5, 17
1026, 513, 17
1027, 513.5, 17
1028, 514, 16
1029, 514.5, 13
1030, 515, 14
1031, 515.5, 30
1032, 516, 31
1033, 516.5, 19
1034, 517, 14
1035, 517.5, 11
1036, 518, 23
1037, 518.5, 22
1038, 519, 27
1039, 519.5, 20
1040, 520, 13
1041, 520.5, 14
1042, 521, 16
1043, 521.5, 34
1044, 522, 37
1045, 522.5, 28
1046, 523, 14
1047, 523.5, 14
1048, 524, 16
1049, 524.5, 15
1050, 525, 14
